Region,Province,Type_of_consumer,Year, User , KWh 
ภาคกลาง,กรุงเทพมหานคร,กิจการขนาดกลาง,2556," 16,447 "," 6,358,458,472 "
ภาคกลาง,กรุงเทพมหานคร,กิจการขนาดกลาง,2557," 16,580 "," 6,317,939,566 "
ภาคกลาง,กรุงเทพมหานคร,กิจการขนาดกลาง,2558," 16,584 "," 6,459,207,669 "
ภาคกลาง,กรุงเทพมหานคร,กิจการขนาดกลาง,2559," 16,737 "," 6,411,813,113 "
ภาคกลาง,กรุงเทพมหานคร,กิจการขนาดกลาง,2560," 16,809 "," 6,324,251,265 "
ภาคกลาง,กรุงเทพมหานคร,กิจการขนาดกลาง,2561," 16,844 "," 6,286,464,447 "
ภาคกลาง,กรุงเทพมหานคร,กิจการขนาดกลาง,2562," 17,100 "," 6,381,023,962 "
ภาคกลาง,กรุงเทพมหานคร,กิจการขนาดกลาง,2563," 16,071 "," 5,759,143,484 "
ภาคกลาง,กรุงเทพมหานคร,กิจการขนาดกลาง,2564," 16,699 "," 5,364,038,944 "
ภาคกลาง,กรุงเทพมหานคร,กิจการขนาดกลาง,2565," 16,666 "," 5,776,109,622 "
ภาคกลาง,กรุงเทพมหานคร,กิจการขนาดเล็ก,2556," 387,901 "," 6,014,912,436 "
ภาคกลาง,กรุงเทพมหานคร,กิจการขนาดเล็ก,2557," 388,943 "," 6,021,801,766 "
ภาคกลาง,กรุงเทพมหานคร,กิจการขนาดเล็ก,2558," 393,248 "," 6,244,524,955 "
ภาคกลาง,กรุงเทพมหานคร,กิจการขนาดเล็ก,2559," 397,674 "," 6,435,209,427 "
ภาคกลาง,กรุงเทพมหานคร,กิจการขนาดเล็ก,2560," 377,923 "," 6,313,986,147 "
ภาคกลาง,กรุงเทพมหานคร,กิจการขนาดเล็ก,2561," 376,343 "," 6,262,296,182 "
ภาคกลาง,กรุงเทพมหานคร,กิจการขนาดเล็ก,2562," 376,979 "," 6,448,127,178 "
ภาคกลาง,กรุงเทพมหานคร,กิจการขนาดเล็ก,2563," 244,050 "," 5,542,700,797 "
ภาคกลาง,กรุงเทพมหานคร,กิจการขนาดเล็ก,2564," 248,454 "," 5,074,172,447 "
ภาคกลาง,กรุงเทพมหานคร,กิจการขนาดเล็ก,2565," 248,336 "," 5,358,494,703 "
ภาคกลาง,กรุงเทพมหานคร,กิจการขนาดใหญ่,2556," 1,427 "," 11,068,232,677 "
ภาคกลาง,กรุงเทพมหานคร,กิจการขนาดใหญ่,2557," 1,441 "," 10,914,420,813 "
ภาคกลาง,กรุงเทพมหานคร,กิจการขนาดใหญ่,2558," 1,463 "," 11,036,377,925 "
ภาคกลาง,กรุงเทพมหานคร,กิจการขนาดใหญ่,2559," 1,497 "," 11,290,062,934 "
ภาคกลาง,กรุงเทพมหานคร,กิจการขนาดใหญ่,2560," 1,519 "," 11,195,219,579 "
ภาคกลาง,กรุงเทพมหานคร,กิจการขนาดใหญ่,2561," 1,508 "," 11,195,235,904 "
ภาคกลาง,กรุงเทพมหานคร,กิจการขนาดใหญ่,2562," 1,563 "," 11,453,843,844 "
ภาคกลาง,กรุงเทพมหานคร,กิจการขนาดใหญ่,2563," 1,396 "," 10,276,516,136 "
ภาคกลาง,กรุงเทพมหานคร,กิจการขนาดใหญ่,2564," 1,579 "," 10,033,458,498 "
ภาคกลาง,กรุงเทพมหานคร,กิจการขนาดใหญ่,2565," 1,609 "," 10,799,621,167 "
ภาคกลาง,กรุงเทพมหานคร,กิจการเฉพาะอย่าง,2556," 2,389 "," 1,880,081,814 "
ภาคกลาง,กรุงเทพมหานคร,กิจการเฉพาะอย่าง,2557," 2,462 "," 1,879,521,130 "
ภาคกลาง,กรุงเทพมหานคร,กิจการเฉพาะอย่าง,2558," 2,521 "," 1,980,905,592 "
ภาคกลาง,กรุงเทพมหานคร,กิจการเฉพาะอย่าง,2559," 2,580 "," 2,006,083,812 "
ภาคกลาง,กรุงเทพมหานคร,กิจการเฉพาะอย่าง,2560," 2,641 "," 2,010,032,208 "
ภาคกลาง,กรุงเทพมหานคร,กิจการเฉพาะอย่าง,2561," 2,726 "," 2,029,925,394 "
ภาคกลาง,กรุงเทพมหานคร,กิจการเฉพาะอย่าง,2562," 2,948 "," 2,109,419,490 "
ภาคกลาง,กรุงเทพมหานคร,กิจการเฉพาะอย่าง,2563," 2,972 "," 1,526,537,077 "
ภาคกลาง,กรุงเทพมหานคร,กิจการเฉพาะอย่าง,2564," 2,783 "," 1,363,891,339 "
ภาคกลาง,กรุงเทพมหานคร,กิจการเฉพาะอย่าง,2565," 2,666 "," 1,663,795,741 "
ภาคกลาง,กรุงเทพมหานคร,บ้านอยู่อาศัย,2556," 1,981,674 "," 8,609,996,254 "
ภาคกลาง,กรุงเทพมหานคร,บ้านอยู่อาศัย,2557," 2,041,017 "," 8,773,380,902 "
