Type,Year,0-15,16-25,26-35,36-100,101-150,151-400,401
under150,2554,1.8632,2.5026,2.7549,3.1381,3.2315,3.7362,3.9361
under150,2555,1.8632,2.5026,2.7549,3.1381,3.2315,3.7362,3.9361
under150,2556,1.8632,2.5026,2.7549,3.1381,3.2315,3.7362,3.9361
under150,2557,1.8632,2.5026,2.7549,3.1381,3.2315,3.7362,3.9361
under150,2558,2.3488,2.9882,3.2405,3.6237,3.7171,4.2218,4.4217
under150,2559,2.3488,2.9882,3.2405,3.6237,3.7171,4.2218,4.4217
under150,2560,2.3488,2.9882,3.2405,3.6237,3.7171,4.2218,4.4217
under150,2561,2.3488,2.9882,3.2405,3.6237,3.7171,4.2218,4.4217
under150,2562,2.3488,2.9882,3.2405,3.6237,3.7171,4.2218,4.4217
under150,2563,2.3488,2.9882,3.2405,3.6237,3.7171,4.2218,4.4217
under150,2564,2.3488,2.9882,3.2405,3.6237,3.7171,4.2218,4.4217
under150,2565,2.3488,2.9882,3.2405,3.6237,3.7171,4.2218,4.4217
under150,2566,2.3488,2.9882,3.2405,3.6237,3.7171,4.2218,4.4217
over150,2554,2.7628,2.7628,2.7628,2.7628,2.7628,3.7362,3.9361
over150,2555,2.7628,2.7628,2.7628,2.7628,2.7628,3.7362,3.9361
over150,2556,2.7628,2.7628,2.7628,2.7628,2.7628,3.7362,3.9361
over150,2557,2.7628,2.7628,2.7628,2.7628,2.7628,3.7362,3.9361
over150,2558,3.2484,3.2484,3.2484,3.2484,3.2484,4.2218,4.4217
over150,2559,3.2484,3.2484,3.2484,3.2484,3.2484,4.2218,4.4217
over150,2560,3.2484,3.2484,3.2484,3.2484,3.2484,4.2218,4.4217
over150,2561,3.2484,3.2484,3.2484,3.2484,3.2484,4.2218,4.4217
over150,2562,3.2484,3.2484,3.2484,3.2484,3.2484,4.2218,4.4217
over150,2563,3.2484,3.2484,3.2484,3.2484,3.2484,4.2218,4.4217
over150,2564,3.2484,3.2484,3.2484,3.2484,3.2484,4.2218,4.4217
over150,2565,3.2484,3.2484,3.2484,3.2484,3.2484,4.2218,4.4217
over150,2566,3.2484,3.2484,3.2484,3.2484,3.2484,4.2218,4.4217
