year,EGAT,IPP,SPP,VSPP,IMPORTED,SAVING ENERGY,Total
2561,16353,14949,9036,3788,3878,0,48004
2562,16350,14949,9685,4228,5721,0,50933
2563,17468,14249,9573,4384,5721,0,51395
2564,17482,15499,9975,4503,5721,0,53180
2565,16380,16749,9945,5123,6235,0,54432
2566,15736,17649,9934,5338,6235,0,54892
2567,15736,18899,9495,5574,6935,0,56639
2568,14656,16759,9319,5660,7635,0,54029
2569,16254,17029,9314,5848,8335,0,56780
2570,17828,15258,9314,6131,8335,0,56866
2571,17952,14545,9211,7467,9035,0,58210
2572,18932,14545,9211,8690,8909,0,60287
2573,19232,14545,9211,9959,9609,0,62556
2574,19482,14545,9170,12457,9609,0,65263
2575,19782,12464,9162,13025,12409,354,67196
2576,20220,10330,9162,15830,14109,556,70207
2577,19335,10330,9141,16234,15109,1415,71564
2578,18940,10330,9051,17663,15561,2440,73985
2579,18370,10330,9051,19124,16261,3300,76436
2580,18545,9670,8783,19254,16961,4000,77213
