year,Fuel Oil (liter),Diesel (liter),Gas (BTU),Coil (TON),IPP (UNIT),SPP (UNIT),IMPORT (UNIT)
Jan-19,15.76, 24.22424,277.91,  693.0,2.83,3.11,1.8
May-19,19.53, 24.35681,262.89,  693.0,2.71,3.12,1.7
Dec-19,,25.13,273.14,  693.0,2.86,3.14,1.73
Jan-20,18.54, 22.98766, 246.9979,  693.0,2.86,3.14,1.73
May-20,18.29,22.98, 242.0129,  693.00,2.62,3.05,1.95
Dec-20,15.99,19.94,193.69,  693.00,2.63,2.7,1.9
Jan-21, 20.15301, 22.93081,201.51,  693.00,2.65,2.7,2.02
May-22, 16.03851,20.73, 229.3841,693,2.57,2.82,1.94
Dec-21,, 20.47132,   246.8749,693,2.75,3.03,1.87
Jan-22,18.2,22.27,350.36,693,3.22,3.74,1.97
Jan-22,19.08,25.8,390.15,693,3.6,4.07,1.97
Dec-22,20.5,28.13,447.89,693,3.95,4.47,1.97
Jan-23,25.35,32.04,431.44,693,4.6,4.43,2.19
May-23,19.08,25.8,390.15,693,3.6,4.07,1.97
