Year,Type of energy,Fuel Type,Producer,ProducerM,MW,Percent
2561,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.062497396
2562,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.058902065
2563,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.058373708
2564,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.056414307
2565,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.055116664
2566,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.054654764
2567,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.052969843
2568,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.055528819
2569,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.052838297
2570,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.052758384
2571,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.051540193
2572,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.049764448
2573,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.04795933
2574,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.045968558
2575,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.044646843
2576,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.042731999
2577,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.04192169
2578,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.040549308
2579,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.039249035
2580,Diesel,Diesel,VSPP/ พพ./ PEA/ อื่นๆ,VSPP,30,0.038854567
2561,Diesel,Diesel,กฟผ.,EGAT,30,0.062497396
2562,Diesel,Diesel,กฟผ.,EGAT,30,0.058902065
2563,Diesel,Diesel,กฟผ.,EGAT,30,0.058373708
2564,Diesel,Diesel,กฟผ.,EGAT,30,0.056414307
2565,Diesel,Diesel,กฟผ.,EGAT,30,0.055116664
2566,Diesel,Diesel,กฟผ.,EGAT,30,0.054654764
