Year,EGAT,IPP,SPP,Imported,Total
2544,15000,4926,1768,340,22034
2545,15000,7071,1768,640,24479
2546,14431,8000,1912,640,24983
2547,15422,8000,1994,640,26056
2548,15795,8000,2016,640,26450
2549,15795,8610,2062,640,27106
2550,15794,10017,2079,640,28530
2551,15021,12152,2079,640,29892
2552,14328,12152,2092,640,29212
2553,14998,12152,2182,1588,30920
2554,14998,12082,2182,2185,31447
2555,14996,12714,2608,2282,32600
2556,15010,12742,3525,2405,33681
2557,15482,13167,3615,2404,34668
2558,15518,14767,5144,3386,38815
2559,16385,14949,6345,3878,41556
2560,16071,14949,7536,3878,42433
2561,15790,14949,8757,3878,43374
2562,15130,14949,9498,5720,45297
2563,16037,14249,9474,5721,45480
2564,16082,15499,9381,5721,46682
2565,16920,16749,9195,6235,49098
