Year,Producer,MW
2001,EGAT,15000
2001,IPP,4926
2001,SPP,1768
2001,Imported,340
2002,EGAT,15000
2002,IPP,7071
2002,SPP,1768
2002,Imported,640
2003,EGAT,14431
2003,IPP,8000
2003,SPP,1912
2003,Imported,640
2004,EGAT,15422
2004,IPP,8000
2004,SPP,1994
2004,Imported,640
2005,EGAT,15795
2005,IPP,8000
2005,SPP,2016
2005,Imported,640
2006,EGAT,15795
2006,IPP,8610
2006,SPP,2062
2006,Imported,640
2007,EGAT,15794
2007,IPP,10017
2007,SPP,2079
2007,Imported,640
2008,EGAT,15021
2008,IPP,12152
2008,SPP,2079
2008,Imported,640
2009,EGAT,14328
2009,IPP,12152
2009,SPP,2092
2009,Imported,640
2010,EGAT,14998
2010,IPP,12152
2010,SPP,2182
2010,Imported,1588
2011,EGAT,14998
2011,IPP,12082
2011,SPP,2182
2011,Imported,2185
2012,EGAT,14996
2012,IPP,12714
2012,SPP,2608
2012,Imported,2282
2013,EGAT,15010
2013,IPP,12742
2013,SPP,3525
2013,Imported,2405
2014,EGAT,15482
2014,IPP,13167
2014,SPP,3615
2014,Imported,2404
2015,EGAT,15518
2015,IPP,14767
2015,SPP,5144
2015,Imported,3386
2016,EGAT,16385
2016,IPP,14949
2016,SPP,6345
2016,Imported,3878
2017,EGAT,16071
2017,IPP,14949
2017,SPP,7536
2017,Imported,3878
2018,EGAT,15790
2018,IPP,14949
2018,SPP,8757
2018,Imported,3878
2019,EGAT,15130
2019,IPP,14949
2019,SPP,9498
2019,Imported,5720
2020,EGAT,16037
2020,IPP,14249
2020,SPP,9474
2020,Imported,5721
2021,EGAT,16082
2021,IPP,15499
2021,SPP,9381
2021,Imported,5721
2022,EGAT,16920
2022,IPP,16749
2022,SPP,9195
2022,Imported,6235
