Year,EGAT_PRODUCTION,EGAT_CONSUMPTION,Import_PRODUCTION,Import_CONSUMPTION,WHOLE KINGDOM_PRODUCTION,WHOLE KINGDOM_CONSUMPTION
2013,17071961,16884947,1038802,1776159,18110763,18661106
2014,17139595,17020425,842127,1357189,17981722,18377614
2015,14587886,14483502,562663,619157,15150549,15102659
2016,16449534,16405949,529067,536094,16978601,16942043
2017,15842845,15898285,415792,390636,16258637,16288921
2018,14443110,14169492,408840,417889,14851950,14587381
2019,13841965,13670634,236000,323815,14077965,13994449
2020,13250574,13232906,,204786,13250574,13437692
2021,14221573,14244883,,277782,14221573,14522665
2022,13641283,13658811,,374565,13641283,14033376
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"SOURCE : DPIM, EGAT",,,,,,
       : ESTIMATED,,,,,,
Compiled by : Energy Policy and Planning Office (EPPO),,,,,,
